Timestamp,Stress_Score,Focus_Status
2026-01-10T04:48:00.837606,0.09613781780935823,Focused
2026-01-10T04:48:01.373043,0.12631859241810162,Focused
2026-01-10T04:48:01.486326,0.11195762311399449,Focused
2026-01-10T04:48:01.695200,0.10673972721851897,Focused
2026-01-10T04:48:01.811302,0.09083941438584589,Focused
2026-01-10T04:48:01.932741,0.09981032721261726,Focused
2026-01-10T04:48:02.058513,0.11462759858986829,Focused
2026-01-10T04:48:06.376410,0.1265365708968602,Focused
2026-01-10T04:48:06.517178,0.12498560405219904,Focused
2026-01-10T04:48:06.934187,0.11189985247619916,Focused
2026-01-10T04:48:07.049870,0.10307659918034914,Focused
2026-01-10T04:48:07.187200,0.07871245738933794,Focused
2026-01-10T04:48:07.285038,0.07871245738933794,Focused
2026-01-10T04:48:07.468704,0.11396147460473004,Focused
2026-01-10T04:48:07.578957,0.17535094599588774,Focused
2026-01-10T04:48:07.696924,0.17535094599588774,Focused
2026-01-10T04:48:07.788231,0.14408542515011502,Focused
2026-01-10T04:48:07.889663,0.16919402849016477,Focused
2026-01-10T04:48:07.989320,0.18186090043163858,Focused
2026-01-10T04:48:08.094765,0.1779486232175259,Focused
2026-01-10T04:48:08.194140,0.09099744706181809,Focused
2026-01-10T04:48:08.313482,0.14392395539325661,Focused
2026-01-10T04:48:08.512233,0.17363907221879343,Focused
2026-01-10T04:48:08.622185,0.1626739082566928,Focused
2026-01-10T04:48:08.728055,0.1354737028334057,Focused
2026-01-10T04:48:08.826208,0.14689670703519367,Focused
2026-01-10T04:48:08.930077,0.1609463098808192,Focused
2026-01-10T04:48:09.033066,0.2100853797994205,Focused
2026-01-10T04:48:09.138833,0.1954861185338814,Focused
2026-01-10T04:48:09.248873,0.18359197097888683,Focused
2026-01-10T04:48:09.374550,0.14227539291314314,Focused
2026-01-10T04:48:09.587051,0.11870668480114546,Focused
2026-01-10T04:48:09.697965,0.11279387586982921,Focused
2026-01-10T04:48:09.793283,0.07604732853505992,Focused
2026-01-10T04:48:09.890814,0.10746420714131091,Focused
2026-01-10T04:48:09.999003,0.09390294876793633,Focused
2026-01-10T04:48:10.101154,0.11001084261806682,Focused
2026-01-10T04:48:10.207912,0.0753026514343219,Focused
2026-01-10T04:48:10.311238,0.09099526901409263,Focused
2026-01-10T04:48:10.410487,0.11383120741520543,Focused
2026-01-10T04:48:10.512455,0.11008118022145935,Focused
2026-01-10T04:48:10.710210,0.120404442641302,Focused
2026-01-10T04:48:10.814660,0.11060715298954164,Focused
2026-01-10T04:48:10.915188,0.12614388927468098,Focused
2026-01-10T04:48:11.018722,0.1856612618663348,Focused
2026-01-10T04:48:11.138393,0.1801178485620767,Focused
